Ramas de actividad;Tipo de indicador;Tamaño de la empresa;Total
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de procesos de negocio;250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de procesos de negocio;Total;244
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;132
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;..
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de procesos de negocio;Total;145
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;63
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;..
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto y de procesos de negocio;Total;98
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;481
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;150
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;45
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Total de empresas innovadoras (producto y/o procesos de negocio);Total;676
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto;De 10 a 49 empleados;216
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto;De 50 a 249 empleados;95
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto;250 y más empleados;33
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto;Total;344
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;48
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;22
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de producto;250 y más empleados;4
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de producto;Total;74
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;433
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;128
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de procesos de negocio;250 y más empleados;41
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de procesos de negocio;Total;602
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;265
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;55
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;12
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);- Exclusivamente innovadoras de procesos de negocio;Total;332
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;168
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;73
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;29
5. Madera, papel y artes gráficas (CNAE 16, 17, 18);Empresas innovadoras de producto y de procesos de negocio;Total;270
5.1. Madera y corcho (CNAE 16);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;197
5.1. Madera y corcho (CNAE 16);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;43
5.1. Madera y corcho (CNAE 16);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;8
5.1. Madera y corcho (CNAE 16);Total de empresas innovadoras (producto y/o procesos de negocio);Total;249
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto;De 10 a 49 empleados;86
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto;De 50 a 249 empleados;21
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto;250 y más empleados;7
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto;Total;114
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;22
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;4
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de producto;250 y más empleados;1
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de producto;Total;27
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;175
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;40
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de procesos de negocio;250 y más empleados;7
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de procesos de negocio;Total;222
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;111
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;23
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;1
5.1. Madera y corcho (CNAE 16);- Exclusivamente innovadoras de procesos de negocio;Total;135
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;64
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;17
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;6
5.1. Madera y corcho (CNAE 16);Empresas innovadoras de producto y de procesos de negocio;Total;87
5.2. Cartón y papel (CNAE 17);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;85
5.2. Cartón y papel (CNAE 17);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;60
5.2. Cartón y papel (CNAE 17);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;28
5.2. Cartón y papel (CNAE 17);Total de empresas innovadoras (producto y/o procesos de negocio);Total;174
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto;De 10 a 49 empleados;49
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto;De 50 a 249 empleados;43
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto;250 y más empleados;21
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto;Total;114
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;12
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;14
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de producto;250 y más empleados;3
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de producto;Total;29
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;73
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;46
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de procesos de negocio;250 y más empleados;25
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de procesos de negocio;Total;145
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;36
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;17
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;7
5.2. Cartón y papel (CNAE 17);- Exclusivamente innovadoras de procesos de negocio;Total;60
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;37
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;29
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;18
5.2. Cartón y papel (CNAE 17);Empresas innovadoras de producto y de procesos de negocio;Total;85
5.3. Artes gráficas y reproducción (CNAE 18);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;198
5.3. Artes gráficas y reproducción (CNAE 18);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;46
5.3. Artes gráficas y reproducción (CNAE 18);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;8
5.3. Artes gráficas y reproducción (CNAE 18);Total de empresas innovadoras (producto y/o procesos de negocio);Total;253
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto;De 10 a 49 empleados;80
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto;De 50 a 249 empleados;31
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto;250 y más empleados;5
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto;Total;116
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;14
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;4
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de producto;250 y más empleados;.
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de producto;Total;18
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;184
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;42
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de procesos de negocio;250 y más empleados;8
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de procesos de negocio;Total;235
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;118
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;15
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;4
5.3. Artes gráficas y reproducción (CNAE 18);- Exclusivamente innovadoras de procesos de negocio;Total;137
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;66
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;27
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;5
5.3. Artes gráficas y reproducción (CNAE 18);Empresas innovadoras de producto y de procesos de negocio;Total;98
6. Química (CNAE 20);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;390
6. Química (CNAE 20);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;233
6. Química (CNAE 20);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;70
6. Química (CNAE 20);Total de empresas innovadoras (producto y/o procesos de negocio);Total;694
6. Química (CNAE 20);Empresas innovadoras de producto;De 10 a 49 empleados;310
6. Química (CNAE 20);Empresas innovadoras de producto;De 50 a 249 empleados;207
6. Química (CNAE 20);Empresas innovadoras de producto;250 y más empleados;66
6. Química (CNAE 20);Empresas innovadoras de producto;Total;583
6. Química (CNAE 20);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;44
6. Química (CNAE 20);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;41
6. Química (CNAE 20);- Exclusivamente innovadoras de producto;250 y más empleados;8
6. Química (CNAE 20);- Exclusivamente innovadoras de producto;Total;93
6. Química (CNAE 20);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;346
6. Química (CNAE 20);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;193
6. Química (CNAE 20);Empresas innovadoras de procesos de negocio;250 y más empleados;62
6. Química (CNAE 20);Empresas innovadoras de procesos de negocio;Total;601
6. Química (CNAE 20);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;81
6. Química (CNAE 20);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;26
6. Química (CNAE 20);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;4
6. Química (CNAE 20);- Exclusivamente innovadoras de procesos de negocio;Total;111
6. Química (CNAE 20);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;265
6. Química (CNAE 20);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;166
6. Química (CNAE 20);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;58
6. Química (CNAE 20);Empresas innovadoras de producto y de procesos de negocio;Total;489
7. Farmacia (CNAE 21);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;39
7. Farmacia (CNAE 21);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;41
7. Farmacia (CNAE 21);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;67
7. Farmacia (CNAE 21);Total de empresas innovadoras (producto y/o procesos de negocio);Total;147
7. Farmacia (CNAE 21);Empresas innovadoras de producto;De 10 a 49 empleados;31
7. Farmacia (CNAE 21);Empresas innovadoras de producto;De 50 a 249 empleados;31
7. Farmacia (CNAE 21);Empresas innovadoras de producto;250 y más empleados;57
7. Farmacia (CNAE 21);Empresas innovadoras de producto;Total;119
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;7
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;5
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de producto;250 y más empleados;4
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de producto;Total;16
7. Farmacia (CNAE 21);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;32
7. Farmacia (CNAE 21);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;36
7. Farmacia (CNAE 21);Empresas innovadoras de procesos de negocio;250 y más empleados;63
7. Farmacia (CNAE 21);Empresas innovadoras de procesos de negocio;Total;131
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;8
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;10
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;10
7. Farmacia (CNAE 21);- Exclusivamente innovadoras de procesos de negocio;Total;28
7. Farmacia (CNAE 21);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;24
7. Farmacia (CNAE 21);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;25
7. Farmacia (CNAE 21);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;53
7. Farmacia (CNAE 21);Empresas innovadoras de producto y de procesos de negocio;Total;102
8. Caucho y plásticos (CNAE 22);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;299
8. Caucho y plásticos (CNAE 22);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;160
8. Caucho y plásticos (CNAE 22);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;40
8. Caucho y plásticos (CNAE 22);Total de empresas innovadoras (producto y/o procesos de negocio);Total;499
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto;De 10 a 49 empleados;214
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto;De 50 a 249 empleados;135
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto;250 y más empleados;35
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto;Total;384
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;49
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;19
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de producto;250 y más empleados;3
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de producto;Total;71
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;250
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;141
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de procesos de negocio;250 y más empleados;37
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de procesos de negocio;Total;428
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;85
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;24
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;5
8. Caucho y plásticos (CNAE 22);- Exclusivamente innovadoras de procesos de negocio;Total;115
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;165
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;117
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;32
8. Caucho y plásticos (CNAE 22);Empresas innovadoras de producto y de procesos de negocio;Total;313
9. Productos minerales no metálicos diversos (CNAE 23);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;269
9. Productos minerales no metálicos diversos (CNAE 23);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;120
9. Productos minerales no metálicos diversos (CNAE 23);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;52
9. Productos minerales no metálicos diversos (CNAE 23);Total de empresas innovadoras (producto y/o procesos de negocio);Total;441
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto;De 10 a 49 empleados;156
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto;De 50 a 249 empleados;64
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto;250 y más empleados;37
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto;Total;257
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;44
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;16
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de producto;250 y más empleados;2
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de producto;Total;62
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;225
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;104
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de procesos de negocio;250 y más empleados;50
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de procesos de negocio;Total;380
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;112
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;56
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;15
9. Productos minerales no metálicos diversos (CNAE 23);- Exclusivamente innovadoras de procesos de negocio;Total;184
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;112
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;48
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;35
9. Productos minerales no metálicos diversos (CNAE 23);Empresas innovadoras de producto y de procesos de negocio;Total;196
10. Metalurgia (CNAE 24);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;93
10. Metalurgia (CNAE 24);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;66
10. Metalurgia (CNAE 24);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;31
10. Metalurgia (CNAE 24);Total de empresas innovadoras (producto y/o procesos de negocio);Total;190
10. Metalurgia (CNAE 24);Empresas innovadoras de producto;De 10 a 49 empleados;56
10. Metalurgia (CNAE 24);Empresas innovadoras de producto;De 50 a 249 empleados;37
10. Metalurgia (CNAE 24);Empresas innovadoras de producto;250 y más empleados;21
10. Metalurgia (CNAE 24);Empresas innovadoras de producto;Total;115
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;9
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;8
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de producto;250 y más empleados;1
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de producto;Total;18
10. Metalurgia (CNAE 24);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;85
10. Metalurgia (CNAE 24);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;58
10. Metalurgia (CNAE 24);Empresas innovadoras de procesos de negocio;250 y más empleados;30
10. Metalurgia (CNAE 24);Empresas innovadoras de procesos de negocio;Total;173
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;37
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;28
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;10
10. Metalurgia (CNAE 24);- Exclusivamente innovadoras de procesos de negocio;Total;76
10. Metalurgia (CNAE 24);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;47
10. Metalurgia (CNAE 24);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;30
10. Metalurgia (CNAE 24);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;20
10. Metalurgia (CNAE 24);Empresas innovadoras de producto y de procesos de negocio;Total;97
11. Manufacturas metálicas (CNAE 25);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;1.070
11. Manufacturas metálicas (CNAE 25);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;252
11. Manufacturas metálicas (CNAE 25);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;53
11. Manufacturas metálicas (CNAE 25);Total de empresas innovadoras (producto y/o procesos de negocio);Total;1.375
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto;De 10 a 49 empleados;443
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto;De 50 a 249 empleados;171
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto;250 y más empleados;37
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto;Total;651
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;145
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;57
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de producto;250 y más empleados;5
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de producto;Total;207
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;925
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;195
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de procesos de negocio;250 y más empleados;48
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de procesos de negocio;Total;1.168
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;627
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;81
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;16
11. Manufacturas metálicas (CNAE 25);- Exclusivamente innovadoras de procesos de negocio;Total;724
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;298
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;114
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;32
11. Manufacturas metálicas (CNAE 25);Empresas innovadoras de producto y de procesos de negocio;Total;444
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;197
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;84
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;13
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Total de empresas innovadoras (producto y/o procesos de negocio);Total;294
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto;De 10 a 49 empleados;166
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto;De 50 a 249 empleados;76
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto;250 y más empleados;12
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto;Total;254
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;37
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;9
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de producto;250 y más empleados;3
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de producto;Total;50
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;159
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;75
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de procesos de negocio;250 y más empleados;10
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de procesos de negocio;Total;244
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;31
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;8
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;1
12. Productos informáticos, electrónicos y ópticos (CNAE 26);- Exclusivamente innovadoras de procesos de negocio;Total;40
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;128
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;67
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;9
12. Productos informáticos, electrónicos y ópticos (CNAE 26);Empresas innovadoras de producto y de procesos de negocio;Total;204
13. Material y equipo eléctrico (CNAE 27);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;173
